# These are major topics.  "Major" means it is an overarching theme of this Sutta
# (and possibly others).  A major topic in only one verse should be specified like 5-5
3-26:Self
3-26:Person - Untaught
27-50:Self
27-50:Person - Bikkhu Higher Training
51-74:Arahant
51-74:Not-self
51-74:Understanding
75-98:Arahant
75-98:Not-self
75-98:Lust
99-122:Arahant
99-122:Not-self
99-122:Hate
123-146:Arahant
123-146:Not-self
123-146:Delusion
147-170:Tathagata
147-170:Not-self
147-170:Understanding
171-194:Tathagata
171-194:Not-self
171-194:Suffering - Cause
171-194:Condition for Aging
171-194:Condition for Death
171-194:Condition for Birth
171-194:Cravings - Elimination
171-194:Awakening
