6-7:Seclusion
6-7:Abandoning
6-7:Luxury
6-7:Careless
6-7:Backsliding
6-7:Lead by Example
8-16:Middle Way
8-16:Eightfold Path
8-16:Direct Knowledge
8-16:Enlightenment
8-16:Nibanna
