
6:Taint of Sensual Desire
6:Taint of Being
6:Taint of Ignorance
10:Taint of Sensual Desire
10:Taint of Being
10:Taint of Ignorance

7:Self

8:Fetter of views
8:Suffering
11:Four Noble Truths
11:Fetter of Personality View
11:Fetter of Doubt
11:Fetter of Rules and Observances

13:Bikkhu and Robe
14:Bikkhu and Almsfood
15:Bikkhu and Resting Place
16:Bikkhu and Medicine

19:Friends

20:Thoughts
20:States

21:Enlightenment Factor of Mindfulness
21:Enlightment Factor of Investigation-of-states
21:Enlightenment Factor of Energy
21:Enlightenment Factor of Rapture
21:Enlightenment Factor of Tranquility
21:Enlightenment Factor of Concentration
21:Enlightenment Factor of Equanimity
