3:Bikhhu and Almsfood
6,7:Bikkhu - Elder
6,7:Bikkhu - Middle
6,7:Bikkhu - New
8:Greed,Hate
9:Anger,Resentment
10:Contempt,Insolence
11:Envy,Avarice
12:Deceit,Fraud
13:Obstinancy,Rivalry
14:Conceit,Arrogance
15:Vanity,Negligence
